,streams_ix_x,album_artist,os,p_os,streams_ix_y,access,p_access,streams_ix,country,p_country,p_avg
0,372,Sabine Delong,Windows,0.0,372,premium,0.0,372,21,0.0,0.0
415,763,Ashton Hardin,Windows,0.0,763,free,0.0,763,7,0.0,0.0
11030,86,Kristian Block,Browser,0.0,86,free,0.0,86,22,0.0,0.0
9714,800,Frederic Goodson,Linux,0.0,800,free,0.0,800,29,0.0,0.0
9713,800,Frederic Goodson,Linux,0.0,800,free,0.0,800,45,0.0,0.0
9859,1989,Walter Goldsmith,Linux,0.0,1989,free,0.0,1989,29,0.0,0.0
9864,2011,Juliana Suggs,Linux,0.0,2011,free,0.0,2011,45,0.0,0.0
11029,86,Kristian Block,Browser,0.0,86,free,0.0,86,16,0.0,0.0
9709,796,Micha Burden,Linux,0.0,796,free,0.0,796,29,0.0,0.0
5024,1515,Errol Person,Mac,0.0,1515,free,0.0,1515,59,0.0,0.0
9865,2011,Juliana Suggs,Linux,0.0,2011,free,0.0,2011,29,0.0,0.0
9704,751,Elnora Schaefer,Linux,0.0,751,free,0.0,751,29,0.0,0.0
9703,751,Elnora Schaefer,Linux,0.0,751,free,0.0,751,45,0.0,0.0
9869,294,Ina Mohr,Linux,0.0,294,free,0.0,294,45,0.0,0.0
9870,294,Ina Mohr,Linux,0.0,294,free,0.0,294,29,0.0,0.0
9708,796,Micha Burden,Linux,0.0,796,free,0.0,796,45,0.0,0.0
9858,1989,Walter Goldsmith,Linux,0.0,1989,free,0.0,1989,45,0.0,0.0
11027,86,Kristian Block,Browser,0.0,86,free,0.0,86,37,0.0,0.0
5020,488,Zena Clay,Mac,0.0,488,free,0.0,488,59,0.0,0.0
9733,1554,Angeles Suarez,Linux,0.0,1554,free,0.0,1554,45,0.0,0.0
9843,2061,Rosalva Bates,Linux,0.0,2061,free,0.0,2061,45,0.0,0.0
9844,2061,Rosalva Bates,Linux,0.0,2061,free,0.0,2061,29,0.0,0.0
9729,1870,Timmy Lemons,Linux,0.0,1870,free,0.0,1870,29,0.0,0.0
9728,1870,Timmy Lemons,Linux,0.0,1870,free,0.0,1870,45,0.0,0.0
9848,1981,Shona Browning,Linux,0.0,1981,free,0.0,1981,45,0.0,0.0
9849,1981,Shona Browning,Linux,0.0,1981,free,0.0,1981,29,0.0,0.0
9724,836,Shawnna Latham,Linux,0.0,836,free,0.0,836,29,0.0,0.0
9723,836,Shawnna Latham,Linux,0.0,836,free,0.0,836,45,0.0,0.0
9853,30,Derick Richey,Linux,0.0,30,free,0.0,30,45,0.0,0.0
9854,30,Derick Richey,Linux,0.0,30,free,0.0,30,29,0.0,0.0
11022,1729,Suzette Pace,Browser,0.0,1729,free,0.0,1729,20,0.0,0.0
5019,2314,Valentine Brewer,Mac,0.0,2314,free,0.0,2314,59,0.0,0.0
9719,1579,Kenyetta Sheridan,Linux,0.0,1579,free,0.0,1579,29,0.0,0.0
9718,1579,Kenyetta Sheridan,Linux,0.0,1579,free,0.0,1579,45,0.0,0.0
9699,724,Aurora Cano,Linux,0.0,724,free,0.0,724,29,0.0,0.0
9698,724,Aurora Cano,Linux,0.0,724,free,0.0,724,45,0.0,0.0
9874,395,Doyle Mccord,Linux,0.0,395,free,0.0,395,45,0.0,0.0
9875,395,Doyle Mccord,Linux,0.0,395,free,0.0,395,29,0.0,0.0
9942,2069,Elayne Case,iOS,0.0,2069,premium,0.0,2069,52,0.0,0.0
9952,589,Carmel Kenny,iOS,0.0,589,premium,0.0,589,44,0.0,0.0
9673,1198,Etta Marquez,Linux,0.0,1198,free,0.0,1198,29,0.0,0.0
9672,1198,Etta Marquez,Linux,0.0,1198,free,0.0,1198,45,0.0,0.0
9953,1672,Daria Estrada,iOS,0.0,1672,premium,0.0,1672,44,0.0,0.0
9809,1237,Stanford Coyle,Linux,0.0,1237,free,0.0,1237,29,0.0,0.0
9962,1747,Brice Childers,iOS,0.0,1747,premium,0.0,1747,44,0.0,0.0
9668,1831,Lashunda Stjohn,Linux,0.0,1831,free,0.0,1831,29,0.0,0.0
9667,1831,Lashunda Stjohn,Linux,0.0,1831,free,0.0,1831,45,0.0,0.0
9986,1444,Illa Weston,iOS,0.0,1444,premium,0.0,1444,52,0.0,0.0
11051,65,Shaunte Easley,Browser,0.0,65,free,0.0,65,20,0.0,0.0
9987,1653,Howard Gardner,iOS,0.0,1653,premium,0.0,1653,52,0.0,0.0
9663,561,Lang Dudley,Linux,0.0,561,free,0.0,561,29,0.0,0.0
9988,1933,Oleta English,iOS,0.0,1933,premium,0.0,1933,52,0.0,0.0
