,artist,x,k,m,N,p-val,adj_pval(BH)
1652,Kemberly Ennis,6031,218346,7371,4313582,0.0,0.0
1587,Lonnie Sampson,1031,218346,1204,4313582,0.0,0.0
2184,Joel Pratt,1929,218346,1947,4313582,0.0,0.0
1822,Dario Murdock,476,218346,558,4313582,0.0,0.0
1594,Santiago Corbett,490,218346,574,4313582,0.0,0.0
79,Tyree Mims,270,218346,275,4313582,0.0,0.0
947,Elidia Swain,119,218346,119,4313582,0.0,0.0
951,Florida Zuniga,335,218346,350,4313582,0.0,0.0
1635,Rossie Woodard,418,218346,418,4313582,0.0,0.0
1163,Angie Mchugh,415,218346,488,4313582,0.0,0.0
609,Marylee Wang,430,218346,450,4313582,0.0,0.0
1152,Erick Ponder,495,218346,498,4313582,0.0,0.0
1584,Dominick Gates,965,218346,1135,4313582,0.0,0.0
2130,Sina Donaldson,4039,218346,20065,4313582,0.0,0.0
325,Pearl Barnett,724,218346,758,4313582,0.0,0.0
192,Chantay Swain,2089,218346,2972,4313582,0.0,0.0
818,Herb Lopes,562,218346,652,4313582,0.0,0.0
2252,Delfina Nesbitt,406,218346,447,4313582,0.0,0.0
996,Gerry Trent,1286,218346,4793,4313582,0.0,0.0
1725,Gwyn Hobbs,285,218346,301,4313582,0.0,0.0
1215,Calvin Dias,4261,218346,4804,4313582,0.0,0.0
1830,Hunter Farmer,329,218346,340,4313582,0.0,0.0
2239,Miyoko Bright,891,218346,1034,4313582,0.0,0.0
1827,Darron Browne,429,218346,564,4313582,0.0,0.0
233,Michiko Pickens,330,218346,374,4313582,0.0,0.0
959,Rico Quinn,496,218346,499,4313582,0.0,0.0
1029,Shay Lucas,305,218346,329,4313582,0.0,0.0
89,Rolf Frye,339,218346,369,4313582,0.0,0.0
2146,Tam Whittington,593,218346,699,4313582,0.0,0.0
443,Samantha Melvin,585,218346,860,4313582,0.0,0.0
31,Aracely Wang,757,218346,855,4313582,0.0,0.0
1483,Stacee Sylvester,3339,218346,3820,4313582,0.0,0.0
1533,Willie Vang,452,218346,726,4313582,0.0,0.0
2111,Naoma Allred,1105,218346,1311,4313582,0.0,0.0
2299,Delia Shockley,2357,218346,19187,4313582,0.0,0.0
519,Evelina Tanner,596,218346,954,4313582,0.0,0.0
2314,Valentine Brewer,14212,218346,15503,4313582,0.0,0.0
488,Zena Clay,1678,218346,1683,4313582,0.0,0.0
1956,Irish Downs,747,218346,866,4313582,0.0,0.0
1515,Errol Person,925,218346,980,4313582,0.0,0.0
1575,Lashawnda Riddick,254,218346,259,4313582,5e-323,1.453e-321
577,Gale Sierra,245,218346,246,4313582,1.59455e-319,4.57863e-318
1825,Rocco Burks,229,218346,246,4313582,1.9944763761556958e-274,5.59381048754365e-273
284,Charline Norton,415,218346,961,4313582,3.3109798471414413e-268,9.075094762846769e-267
621,Tran Benavides,353,218346,676,4313582,4.2643507021685267e-265,1.1428459881811653e-263
1568,Leslee Butts,319,218346,541,4313582,5.795191398463073e-263,1.519348005770971e-261
2036,Coletta Louis,201,218346,207,4313582,3.9729731080271276e-253,1.0194479932512161e-251
1218,Mittie Patterson,326,218346,612,4313582,8.346537704216948e-249,2.0970675981845083e-247
2291,Merri Keith,191,218346,194,4313582,2.629256204191037e-245,6.471189759702837e-244
1573,Katy Beaty,174,218346,184,4313582,5.762312263820648e-213,1.3898697180335403e-211
174,Edythe Lam,473,218346,1725,4313582,2.1648521329328404e-204,5.119238573170598e-203
566,Herb Scott,162,218346,169,4313582,1.2993883478936643e-201,3.0135814376149217e-200
1523,Kristen Ritchie,425,218346,1425,4313582,1.9060987895589347e-199,4.3372738494491986e-198
855,Wilfredo Edmondson,150,218346,152,4313582,3.07925566750829e-194,6.877004324101849e-193
2087,Cyrus Ramey,8908,218346,128650,4313582,1.1019082203178504e-190,2.4161842067333227e-189
2140,Adelia Robison,145,218346,146,4313582,6.439554676361915e-190,1.3868040963736553e-188
909,Dolly Bragg,1969,218346,19572,4313582,1.1203175113005094e-177,2.3703559975937094e-176
2136,Maisie Castro,1287,218346,11005,4313582,8.945402192071056e-166,1.8600267316616714e-164
975,Hershel Thomas,221,218346,435,4313582,1.0524881775996455e-163,2.1513571901443603e-162
1946,Merrill Walden,145,218346,181,4313582,3.1748307059042423e-153,6.381409718867526e-152
1180,Echo Jimenez,124,218346,134,4313582,1.938440617736263e-149,3.8323924344097264e-148
1341,Yvette Kane,110,218346,111,4313582,1.4674619388042425e-144,2.854450158383736e-143
639,Danna Kenny,894,218346,7206,4313582,1.9538464351040532e-130,3.740220318627759e-129
446,Ava Baxter,397,218346,1952,4313582,2.3087546050807505e-124,4.350559458949039e-123
2144,Albertina Fairchild,175,218346,368,4313582,7.478698057923741e-124,1.387586131977851e-122
1467,Darline Payton,99,218346,104,4313582,9.878047952484466e-124,1.804988762226707e-122
1468,Briana Lugo,578,218346,3766,4313582,1.1011079924897986e-122,1.9819943864816376e-121
1080,Tula Iverson,121,218346,193,4313582,1.7212142122812845e-106,3.052624029428278e-105
1662,Leah Dupre,99,218346,124,4313582,1.9993018616606648e-105,3.494431949511249e-104
542,Earlie Cunningham,96,218346,121,4313582,8.051001418906295e-102,1.3870725301715703e-100
75,Veronica Klein,174,218346,546,4313582,1.6378711651614267e-88,2.782074119978423e-87
1497,Natalia Paxton,170,218346,546,4313582,9.504309703629081e-85,1.591971875357871e-83
946,Keith Lancaster,489,218346,3663,4313582,7.539890999831831e-83,1.2456313076434505e-81
262,Marica Baer,96,218346,159,4313582,8.205633991917966e-83,1.337296566790955e-81
1851,Merlyn Gil,238,218346,1098,4313582,2.074136211267833e-81,3.3352110277186753e-80
111,Raleigh Meredith,943,218346,9592,4313582,4.288737061236035e-81,6.805548547171919e-80
1838,Cheri Bunch,97,218346,173,4313582,3.452795067508604e-79,5.407884222617372e-78
2235,Birdie Sisk,260,218346,1327,4313582,1.0007211200599245e-78,1.5472688087080372e-77
2286,Lindsay Bentley,798,218346,7708,4313582,1.091708106812756e-78,1.6665822491344099e-77
2301,Robby Esparza,146,218346,452,4313582,1.2733007446231475e-75,1.9195008725193948e-74
412,Shela Wilder,451,218346,3430,4313582,1.4594553520324164e-74,2.1729668574704865e-73
1669,Delmer Yarbrough,138,218346,417,4313582,3.562102390066288e-73,5.238896929780419e-72
1196,Elvin Choi,630,218346,5719,4313582,2.3305916603458453e-72,3.3863777619001076e-71
372,Sabine Delong,225,218346,1117,4313582,8.388909242235846e-71,1.2044076840638606e-69
649,Twanna Roach,110,218346,277,4313582,1.400698295173179e-68,1.9873436987986515e-67
340,Yung Bean,783,218346,7972,4313582,1.5425201169741224e-67,2.1631154198497578e-66
1291,Jessi Sorenson,453,218346,3656,4313582,4.350391293620319e-67,6.030542413915063e-66
195,Jim Nielsen,268,218346,1746,4313582,3.215643022709329e-58,4.4068925970311944e-57
87,Akiko Hamilton,321,218346,2372,4313582,1.5944859548438245e-56,2.160618046676014e-55
1432,Waylon Hatcher,265,218346,1761,4313582,6.915079358700189e-56,9.266206340658254e-55
849,Werner Zuniga,326,218346,2479,4313582,1.4365705501461794e-54,1.9038506411827388e-53
858,Daniella Pickett,282,218346,2030,4313582,3.384923523617868e-52,4.4371932276990746e-51
1097,Altha Minor,301,218346,2294,4313582,2.29133395431641e-50,2.9713427407586996e-49
357,Kyla Edwards,317,218346,2502,4313582,1.1306840518887438e-49,1.4506435814657714e-48
1540,Queenie Moffett,574,218346,5874,4313582,1.975980301752668e-49,2.5084549935933867e-48
712,Latashia Alexander,90,218346,279,4313582,1.2897069864559622e-47,1.6201944017353025e-46
1288,Jc Barnard,287,218346,2210,4313582,2.9398343053216737e-47,3.655092961049421e-46
778,Nelson Peters,391,218346,3572,4313582,3.898619820344642e-45,4.797689289117998e-44
899,Danilo Lopez,696,218346,7843,4313582,4.986576710283388e-45,6.074557083436127e-44
2208,David Hoyt,197,218346,1259,4313582,1.1011110010949695e-44,1.3279398673205332e-43
