,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
2193,basic-desktop,Nicki Lindsey,297,2974,852,4313582,0.0,0.0
787,basic-desktop,Ezra Fritz,221,2974,24509,4313582,5.023139488706328e-165,9.292808054106707e-164
342,basic-desktop,Shelia Trent,22,2974,192,4313582,5.102916532685636e-44,6.29359705697895e-43
877,basic-desktop,Myrtis Daugherty,20,2974,467,4313582,3.984353184321159e-31,3.685526695497072e-30
2287,basic-desktop,Elodia Arnold,14,2974,225,4313582,2.901397486069383e-25,2.1470341396913433e-24
267,basic-desktop,Irina Hutton,33,2974,4239,4313582,1.0409512043216787e-24,6.419199093317018e-24
552,basic-desktop,Oneida Vinson,16,2974,512,4313582,3.057762091937278e-23,1.6162456771668468e-22
1282,basic-desktop,Ivette Pelletier,34,2974,5707,4313582,1.1074420391333179e-21,5.1219194309915946e-21
1419,basic-desktop,Emelia Mcguire,17,2974,1421,4313582,3.705355220161279e-17,1.523312701621859e-16
403,basic-desktop,Lyndia Delgado,12,2974,616,4313582,1.3715748370112642e-15,5.074826896941677e-15
934,basic-desktop,Cris Jernigan,14,2974,1330,4313582,7.984409801542946e-14,2.6856651150644455e-13
899,basic-desktop,Danilo Lopez,29,2974,7843,4313582,1.7417800151808658e-13,5.370488380141003e-13
943,basic-desktop,Deb Rider,13,2974,1564,4313582,1.1193269982773348e-11,3.185776841250876e-11
591,basic-desktop,Mahalia Andrade,56,2974,29818,4313582,2.4297084419219936e-11,6.42137231079384e-11
1356,basic-desktop,Dannielle Gates,11,2974,1116,4313582,4.119694721025628e-11,1.0161913645196549e-10
1606,basic-desktop,Delorse Leblanc,17,2974,3520,4313582,1.2544836474314558e-10,2.9009934346852415e-10
1961,basic-desktop,Yvonne Pelletier,11,2974,1250,4313582,1.485419047609342e-10,3.232970868326215e-10
2293,basic-desktop,Cecille Slade,13,2974,1957,4313582,2.0333334450574813e-10,4.1796298592848225e-10
1613,basic-desktop,Donette Nixon,12,2974,1929,4313582,1.809894649053803e-09,3.5245316849995115e-09
1468,basic-desktop,Briana Lugo,16,2974,3766,4313582,2.5542083884039315e-09,4.725285518547273e-09
918,basic-desktop,Ahmad Hess,11,2974,2258,4313582,9.731778590017774e-08,1.7146467039555126e-07
2059,basic-desktop,Marilu Tucker,32,2974,17491,4313582,4.5448153653069694e-07,7.643553114379903e-07
1368,basic-desktop,Tessie Hankins,15,2974,4954,4313582,6.455538931543303e-07,1.038499741161314e-06
450,basic-desktop,Verdell Bundy,13,2974,3850,4313582,8.131734845607448e-07,1.2536424553644814e-06
507,basic-desktop,Jesica Pendleton,11,2974,4182,4313582,4.8211902120835854e-05,7.135361513883706e-05
441,basic-desktop,Maira Gay,14,2974,6558,4313582,7.562802938239204e-05,0.0001076245033518656
1732,basic-desktop,Jenee Ellsworth,40,2974,31528,4313582,0.0001371181188646665,0.0001879026073330615
1840,basic-desktop,Evalyn Conrad,11,2974,5051,4313582,0.00027150133170892866,0.0003587696169010843
835,basic-desktop,Elfrieda Miranda,17,2974,10166,4313582,0.00035804797268820565,0.0004568198272228831
287,basic-desktop,Hilario Carlton,12,2974,6233,4313582,0.0005219555977837353,0.0006437452372666069
2134,basic-desktop,Irving Langston,38,2974,35497,4313582,0.003923569642307907,0.0046829702182384705
2087,basic-desktop,Cyrus Ramey,112,2974,128650,4313582,0.006520011636056191,0.007538763454189971
2130,basic-desktop,Sina Donaldson,18,2974,20065,4313582,0.10777400770556618,0.12083752379108935
2299,basic-desktop,Delia Shockley,14,2974,19187,4313582,0.3481762435017298,0.3788976767518824
499,basic-desktop,Anne Carey,16,2974,24014,4313582,0.48924468529684384,0.5172015244566635
994,basic-desktop,Sharilyn Workman,51,2974,76400,4313582,0.5562238848601865,0.5716745483285249
341,basic-desktop,Malcolm Crook,370,2974,636055,4313582,0.9998372638225694,0.9998372638225694
