,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
92,free,Lane Morales,1400,1199573,1400,4313582,0.0,0.0
702,free,Liana Barrett,4343,1199573,4347,4313582,0.0,0.0
947,free,Elidia Swain,119,1199573,119,4313582,0.0,0.0
1237,free,Stanford Coyle,1400,1199573,1400,4313582,0.0,0.0
1230,free,Maia Coffman,3867,1199573,3867,4313582,0.0,0.0
729,free,Phuong Gilbert,2730,1199573,2743,4313582,0.0,0.0
1579,free,Kenyetta Sheridan,1400,1199573,1400,4313582,0.0,0.0
1584,free,Dominick Gates,993,1199573,1135,4313582,0.0,0.0
1538,free,Jaye Velasco,9187,1199573,12207,4313582,0.0,0.0
1198,free,Etta Marquez,1400,1199573,1400,4313582,0.0,0.0
1743,free,Kimberely Hutchison,2756,1199573,2771,4313582,0.0,0.0
1879,free,Shanae Corbett,2539,1199573,2562,4313582,0.0,0.0
2011,free,Juliana Suggs,1400,1199573,1400,4313582,0.0,0.0
2214,free,Eartha Pham,1400,1199573,1400,4313582,0.0,0.0
1794,free,Kandis Funk,3317,1199573,3332,4313582,0.0,0.0
836,free,Shawnna Latham,1400,1199573,1400,4313582,0.0,0.0
1662,free,Leah Dupre,124,1199573,124,4313582,0.0,0.0
1483,free,Stacee Sylvester,3481,1199573,3820,4313582,0.0,0.0
1068,free,Lesli Bronson,106,1199573,106,4313582,0.0,0.0
1390,free,Tyron Golden,1400,1199573,1400,4313582,0.0,0.0
414,free,Magdalen Tuttle,3062,1199573,3067,4313582,0.0,0.0
1789,free,Tamesha Blanco,2690,1199573,2704,4313582,0.0,0.0
86,free,Kristian Block,4899,1199573,4920,4313582,0.0,0.0
419,free,Carson Mayer,3112,1199573,3115,4313582,0.0,0.0
542,free,Earlie Cunningham,121,1199573,121,4313582,0.0,0.0
1386,free,Zena Spivey,1400,1199573,1400,4313582,0.0,0.0
1729,free,Suzette Pace,3001,1199573,3003,4313582,0.0,0.0
696,free,Sybil Spencer,1400,1199573,1400,4313582,0.0,0.0
536,free,Benjamin Welch,4105,1199573,4108,4313582,0.0,0.0
1989,free,Walter Goldsmith,1400,1199573,1400,4313582,0.0,0.0
2184,free,Joel Pratt,1935,1199573,1947,4313582,0.0,0.0
957,free,Mariam Lund,12167,1199573,17687,4313582,0.0,0.0
1735,free,Arminda Newman,1400,1199573,1400,4313582,0.0,0.0
1188,free,Pennie Boston,1400,1199573,1400,4313582,0.0,0.0
2014,free,Perry Montoya,961,1199573,964,4313582,0.0,0.0
1122,free,Kasi Overton,1400,1199573,1400,4313582,0.0,0.0
124,free,Lindsey Stanford,3373,1199573,3383,4313582,0.0,0.0
209,free,Karma Nichols,3228,1199573,3272,4313582,0.0,0.0
2228,free,Fe Jarrett,8489,1199573,14605,4313582,0.0,0.0
1093,free,Yoko Snyder,2792,1199573,2793,4313582,0.0,0.0
150,free,Arie Shultz,1400,1199573,1400,4313582,0.0,0.0
1275,free,Keri Lackey,1400,1199573,1400,4313582,0.0,0.0
1884,free,Ilene Scott,3052,1199573,3062,4313582,0.0,0.0
1222,free,Alfonso Carrier,301,1199573,301,4313582,0.0,0.0
