,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1634,premium,Gary Sanchez,179,3111035,179,4313582,0.0,0.0
1451,premium,Reanna Avila,229,3111035,229,4313582,0.0,0.0
172,premium,Tyler Bruno,147,3111035,147,4313582,0.0,0.0
2063,premium,Madge Yoder,13458,3111035,14267,4313582,0.0,0.0
2057,premium,Carina Walls,144,3111035,144,4313582,0.0,0.0
601,premium,Ethel English,195,3111035,195,4313582,0.0,0.0
597,premium,Clifford Mahoney,107,3111035,107,4313582,0.0,0.0
183,premium,Lisandra Allred,250,3111035,250,4313582,0.0,0.0
1467,premium,Darline Payton,104,3111035,104,4313582,0.0,0.0
589,premium,Carmel Kenny,119,3111035,119,4313582,0.0,0.0
189,premium,Ignacia Keen,3064,3111035,3067,4313582,0.0,0.0
581,premium,Isa Farr,4309,3111035,4552,4313582,0.0,0.0
1497,premium,Natalia Paxton,546,3111035,546,4313582,0.0,0.0
1512,premium,Allyson Ball,517,3111035,517,4313582,0.0,0.0
2042,premium,Gabriel Velasco,116,3111035,116,4313582,0.0,0.0
1524,premium,Freddie Summers,10953,3111035,11783,4313582,0.0,0.0
549,premium,Robt Greenberg,3282,3111035,3284,4313582,0.0,0.0
2035,premium,Faustina Lucas,503,3111035,503,4313582,0.0,0.0
1558,premium,Page Wetzel,661,3111035,661,4313582,0.0,0.0
1559,premium,Cris Darnell,3151,3111035,3153,4313582,0.0,0.0
1581,premium,Trista Magana,4021,3111035,4227,4313582,0.0,0.0
1596,premium,Jacob Gallegos,103,3111035,103,4313582,0.0,0.0
2069,premium,Elayne Case,166,3111035,166,4313582,0.0,0.0
511,premium,Hoa Delaney,2562,3111035,2562,4313582,0.0,0.0
1444,premium,Illa Weston,213,3111035,213,4313582,0.0,0.0
1411,premium,Audry Strange,196,3111035,196,4313582,0.0,0.0
2153,premium,Jerlene Connolly,114,3111035,114,4313582,0.0,0.0
2150,premium,Ayako Felton,4619,3111035,4758,4313582,0.0,0.0
2145,premium,Dorethea Pollock,3532,3111035,3664,4313582,0.0,0.0
2134,premium,Irving Langston,29530,3111035,35497,4313582,0.0,0.0
730,premium,Augustine Fay,4369,3111035,4516,4313582,0.0,0.0
1293,premium,Erline Delaney,2674,3111035,2678,4313582,0.0,0.0
1294,premium,Bill Starkey,160,3111035,160,4313582,0.0,0.0
1314,premium,Vena Valenzuela,9153,3111035,9853,4313582,0.0,0.0
1326,premium,Carri Flowers,140,3111035,140,4313582,0.0,0.0
711,premium,Ginette Rowley,32572,3111035,34908,4313582,0.0,0.0
146,premium,Marhta Black,11812,3111035,13292,4313582,0.0,0.0
147,premium,Chuck Shepherd,168,3111035,168,4313582,0.0,0.0
151,premium,Jacqui Petty,104,3111035,104,4313582,0.0,0.0
664,premium,Johnetta Buck,108,3111035,108,4313582,0.0,0.0
662,premium,Bobbie Adcock,3679,3111035,3811,4313582,0.0,0.0
2096,premium,Gil Boyle,945,3111035,945,4313582,0.0,0.0
646,premium,Torri Walker,6966,3111035,7573,4313582,0.0,0.0
638,premium,Yanira Moss,19696,3111035,21118,4313582,0.0,0.0
2087,premium,Cyrus Ramey,104492,3111035,128650,4313582,0.0,0.0
1869,premium,Rafael Bouchard,22163,3111035,25199,4313582,0.0,0.0
1405,premium,Mahalia Horn,759,3111035,759,4313582,0.0,0.0
1421,premium,Concha Mckinley,3424,3111035,3424,4313582,0.0,0.0
749,premium,Michal Sykes,612,3111035,612,4313582,0.0,0.0
1618,premium,Mabelle Leary,2609,3111035,2612,4313582,0.0,0.0
499,premium,Anne Carey,22050,3111035,24014,4313582,0.0,0.0
1759,premium,Colin Eubanks,8786,3111035,9152,4313582,0.0,0.0
401,premium,Arianne Bray,141,3111035,141,4313582,0.0,0.0
399,premium,Sari Ziegler,307,3111035,307,4313582,0.0,0.0
1933,premium,Oleta English,1058,3111035,1058,4313582,0.0,0.0
389,premium,Tomi Slade,2826,3111035,2827,4313582,0.0,0.0
1925,premium,Laree Lujan,9055,3111035,10151,4313582,0.0,0.0
374,premium,Tasha Busby,372,3111035,372,4313582,0.0,0.0
372,premium,Sabine Delong,1117,3111035,1117,4313582,0.0,0.0
1819,premium,Rochell Connors,188,3111035,188,4313582,0.0,0.0
287,premium,Hilario Carlton,5771,3111035,6233,4313582,0.0,0.0
289,premium,Jenny Trevino,2756,3111035,2758,4313582,0.0,0.0
1821,premium,Tamela Clifford,122,3111035,122,4313582,0.0,0.0
346,premium,Tamisha Galloway,781,3111035,781,4313582,0.0,0.0
1834,premium,Gustavo Cottrell,4452,3111035,4609,4313582,0.0,0.0
296,premium,Kraig Delaney,387,3111035,387,4313582,0.0,0.0
297,premium,Lenita Beaulieu,160,3111035,160,4313582,0.0,0.0
1837,premium,Annalee Pugh,8510,3111035,8522,4313582,0.0,0.0
307,premium,Cher Barrios,164,3111035,164,4313582,0.0,0.0
308,premium,Haley Fitzgerald,6398,3111035,6936,4313582,0.0,0.0
1864,premium,Jodi Lawler,134,3111035,134,4313582,0.0,0.0
315,premium,Ernesto Ham,2352,3111035,2352,4313582,0.0,0.0
265,premium,Herminia Triplett,655,3111035,655,4313582,0.0,0.0
223,premium,Kylie Shafer,12357,3111035,13636,4313582,0.0,0.0
1747,premium,Brice Childers,175,3111035,175,4313582,0.0,0.0
1953,premium,Marybeth Starks,398,3111035,398,4313582,0.0,0.0
1623,premium,Lakeesha Newcomb,3234,3111035,3239,4313582,0.0,0.0
495,premium,Ellyn Stringer,557,3111035,557,4313582,0.0,0.0
1635,premium,Rossie Woodard,418,3111035,418,4313582,0.0,0.0
1636,premium,Marian Nash,554,3111035,554,4313582,0.0,0.0
1653,premium,Howard Gardner,245,3111035,245,4313582,0.0,0.0
232,premium,Lyndia Serrano,4340,3111035,4475,4313582,0.0,0.0
1659,premium,Loretta Lujan,132,3111035,132,4313582,0.0,0.0
1665,premium,Codi Mcghee,3383,3111035,3384,4313582,0.0,0.0
1672,premium,Daria Estrada,8271,3111035,8927,4313582,0.0,0.0
237,premium,Shaquana Higgins,278,3111035,278,4313582,0.0,0.0
453,premium,Blake Huber,3059,3111035,3060,4313582,0.0,0.0
1994,premium,Breanne Emerson,4957,3111035,5231,4313582,0.0,0.0
