,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1362,48,Casimira Jacobs,565,102447,817,4313582,0.0,0.0
160,48,Elbert Ennis,501,102447,509,4313582,0.0,0.0
1344,48,Brianna Nance,17887,102447,19984,4313582,0.0,0.0
471,48,Verena Shipman,257,102447,310,4313582,0.0,0.0
244,48,Latarsha Carnes,959,102447,4302,4313582,0.0,0.0
1812,48,Leesa Street,603,102447,628,4313582,0.0,0.0
341,48,Malcolm Crook,35469,102447,636055,4313582,0.0,0.0
41,48,Marcia Ray,591,102447,2550,4313582,0.0,0.0
1590,48,Ilana Spangler,252,102447,294,4313582,0.0,0.0
1462,48,Lashunda Alonzo,470,102447,1763,4313582,0.0,0.0
1570,48,Thu Hillman,1879,102447,9358,4313582,0.0,0.0
62,48,Justine Salas,4762,102447,5492,4313582,0.0,0.0
137,48,Leota Odonnell,516,102447,2390,4313582,3.758e-320,1.12447e-318
428,48,Odilia Boykin,466,102447,2483,4313582,4.901850415599507e-261,1.3620141511915773e-259
2225,48,Graig Cody,423,102447,2163,4313582,1.1194915776843892e-244,2.9032148247948494e-243
1129,48,Caitlyn Yazzie,395,102447,1989,4313582,2.6987019457888636e-231,6.561219105699175e-230
2280,48,Jeremy Sykes,321,102447,1222,4313582,7.564762918879029e-229,1.7309957502611424e-227
1069,48,Dawn Barlow,329,102447,1306,4313582,4.2889871494615353e-228,9.268977784114096e-227
305,48,Minh Beverly,931,102447,11604,4313582,6.6391383699190146e-220,1.3592762241571036e-218
1399,48,Jacqui Workman,134,102447,137,4313582,4.22031141505515e-216,8.208505702282266e-215
2312,48,Naoma Batts,133,102447,141,4313582,3.20388880958279e-207,5.934822604417645e-206
281,48,Laci Stanley,265,102447,1022,4313582,7.415560922431929e-188,1.311205999466373e-186
668,48,Creola Roberts,276,102447,1175,4313582,5.111307134443315e-183,8.644775979558475e-182
907,48,Wenona Ames,269,102447,1111,4313582,3.691377161742127e-182,5.983107149657031e-181
2305,48,Alessandra Suggs,274,102447,1239,4313582,2.728188904712885e-174,4.2450619357332494e-173
867,48,Huey Cano,103,102447,105,4313582,1.1414350837066857e-167,1.7077624906226953e-166
1885,48,Kiara Lofton,329,102447,2035,4313582,1.4617754480906035e-164,2.106039441878684e-163
973,48,Milo Lucero,97,102447,104,4313582,8.208808440610216e-151,1.1404380297847765e-149
326,48,Lucila Knox,260,102447,1354,4313582,1.847246047260664e-149,2.477857628911718e-148
1409,48,Carolee Beasley,245,102447,1214,4313582,2.803959765637745e-146,3.635801162776942e-145
719,48,Nia Maxwell,288,102447,1766,4313582,1.9645371561185356e-145,2.4651772700971302e-144
158,48,Catina Lovett,482,102447,5100,4313582,1.8641044672355834e-141,2.2660519929832564e-140
1238,48,Nery Brinkley,241,102447,1257,4313582,1.37088388387729e-138,1.6159813055401994e-137
1,48,Yukiko Stamper,293,102447,2001,4313582,4.3573110739051415e-135,4.985276493379706e-134
1897,48,Soraya Downey,235,102447,1233,4313582,1.3014873931782537e-134,1.4465102741324019e-133
1863,48,Huey Staples,239,102447,1377,4313582,2.3093376820288457e-127,2.4953676619700583e-126
7,48,Sharron Camp,569,102447,7487,4313582,2.2961190067810845e-125,2.414027820642816e-124
2241,48,Seymour Dill,231,102447,1304,4313582,3.5274819799202336e-125,3.61102760576045e-124
69,48,Migdalia Barr,170,102447,634,4313582,2.834108414454821e-124,2.8268414698023724e-123
1309,48,Damaris Sewell,287,102447,2127,4313582,4.3389004771496804e-123,4.2195807140280643e-122
1982,48,Colin Hunt,250,102447,1610,4313582,1.353847804566708e-121,1.2845043804303644e-120
2233,48,Lera Ortega,196,102447,983,4313582,1.410435233983244e-116,1.3063316809987666e-115
1824,48,Phoebe Mcgrath,247,102447,1690,4313582,3.963204936270284e-114,3.585317953974746e-113
1841,48,Cleora Dobbins,267,102447,2068,4313582,4.029272002722387e-110,3.5622427478613834e-109
910,48,Leland Inman,183,102447,907,4313582,5.552975509580311e-110,4.800238829392757e-109
1560,48,Kelsi Gallardo,243,102447,1729,4313582,1.5501683924957419e-108,1.3109032710453122e-107
932,48,Blondell Carney,206,102447,1270,4313582,2.2734259185472726e-104,1.881622728329551e-103
445,48,Kathie Miller,218,102447,1590,4313582,1.610094989759782e-95,1.3048478146178234e-94
2224,48,Leann Gabriel,174,102447,978,4313582,2.5983906913141442e-95,2.0628040386146983e-94
1121,48,Orval Romano,184,102447,1121,4313582,2.005290849035753e-94,1.5601162805498158e-93
889,48,Youlanda Herbert,172,102447,977,4313582,1.7495117611588582e-93,1.3344315197858743e-92
95,48,Ricki Hawk,135,102447,557,4313582,5.601330714256664e-93,4.190226245857389e-92
501,48,Shaun Lane,185,102447,1193,4313582,1.3271738158465884e-90,9.740954988006094e-90
1225,48,Theodore Mccain,104,102447,309,4313582,1.006920556855183e-88,7.253557344753077e-88
36,48,Bibi Daugherty,240,102447,2136,4313582,1.2427261427965229e-86,8.789463082688134e-86
1619,48,Deandrea Crocker,159,102447,934,4313582,2.1763763787094348e-84,1.5118043059249465e-83
2219,48,Tamara Carmichael,154,102447,908,4313582,1.389371863003939e-81,9.48185359137776e-81
1857,48,Quintin Hare,97,102447,307,4313582,6.720134559575849e-80,4.507124730474147e-79
1283,48,Nola Maguire,163,102447,1075,4313582,1.141385672038511e-78,7.525407227508148e-78
993,48,Amy Cooke,136,102447,809,4313582,7.169129098998524e-72,4.64798536585071e-71
114,48,Kena Jernigan,152,102447,1033,4313582,1.0603488057167227e-71,6.761896482357461e-71
1572,48,Evelyne Ross,145,102447,957,4313582,3.062135156073729e-70,1.9212428640527107e-69
1245,48,Simone Mcdonough,127,102447,726,4313582,2.0256409775828793e-69,1.2507529210789526e-68
2163,48,Everett Kelsey,121,102447,700,4313582,1.1565288356284013e-65,7.029526829053877e-65
2030,48,Kenda Sample,186,102447,1709,4313582,1.5348310914742235e-65,9.18537376282266e-65
1274,48,Alleen Poe,86,102447,328,4313582,1.9193321101939793e-63,1.131242713432512e-62
2162,48,Georgine Ivey,92,102447,398,4313582,2.632909483657752e-62,1.5286593867803963e-61
1931,48,Henrietta Buchanan,142,102447,1055,4313582,3.975816376794135e-62,2.274400839077821e-61
1866,48,Janina Agee,94,102447,424,4313582,8.022894628898886e-62,4.523052189335748e-61
2001,48,Rubie Mcmillan,168,102447,1502,4313582,3.841618884384017e-61,2.134842494321975e-60
282,48,Tisa Roman,89,102447,380,4313582,6.694497055903971e-61,3.6678300771079506e-60
1839,48,Karena Mckinley,165,102447,1475,4313582,4.195277011901746e-60,2.2666149411524713e-59
2290,48,Angelyn Rhoades,94,102447,456,4313582,8.958910027343694e-59,4.773994521420133e-58
540,48,Barbra Wilder,90,102447,436,4313582,1.9002997566394732e-56,9.989413585577772e-56
2191,48,Arthur Quick,136,102447,1096,4313582,2.554363987293926e-55,1.3248634547431165e-54
1549,48,Hsiu Layne,325,102447,5112,4313582,4.183297540375528e-55,2.1411878200080007e-54
1387,48,Bebe Cunningham,121,102447,912,4313582,1.198095387027992e-52,6.0527156565440115e-52
1257,48,Alfonso Caudill,111,102447,762,4313582,1.2280479513655092e-52,6.12449555232286e-52
188,48,Kacie Diamond,107,102447,725,4313582,2.1150584341947304e-51,1.0414654821541141e-50
1174,48,Rodrigo Mason,130,102447,1104,4313582,2.125651335201273e-50,1.0335979617416189e-49
