,artist,x,k,m,N,p-val,adj_pval(BH)
2063,Madge Yoder,7866,1672335,14267,4313582,0.0,0.0
1965,Marci Lau,3136,1672335,4316,4313582,0.0,0.0
1732,Jenee Ellsworth,17622,1672335,31528,4313582,0.0,0.0
1404,Tennille Conway,11532,1672335,18328,4313582,0.0,0.0
57,Lavenia Godfrey,3828,1672335,3831,4313582,0.0,0.0
1815,Larissa Boggs,165,1672335,165,4313582,0.0,0.0
2069,Elayne Case,166,1672335,166,4313582,0.0,0.0
499,Anne Carey,13271,1672335,24014,4313582,0.0,0.0
1892,Molly Champion,12246,1672335,19388,4313582,0.0,0.0
1143,Wonda Mize,4685,1672335,6172,4313582,0.0,0.0
589,Carmel Kenny,119,1672335,119,4313582,0.0,0.0
994,Sharilyn Workman,36251,1672335,76400,4313582,0.0,0.0
1672,Daria Estrada,5982,1672335,8927,4313582,0.0,0.0
492,Mariko Hayes,17260,1672335,30122,4313582,0.0,0.0
1837,Annalee Pugh,8254,1672335,8522,4313582,0.0,0.0
1747,Brice Childers,175,1672335,175,4313582,0.0,0.0
330,Elma Costello,236,1672335,236,4313582,0.0,0.0
1722,Tod Mcdowell,4556,1672335,7266,4313582,0.0,0.0
341,Malcolm Crook,289806,1672335,636055,4313582,0.0,0.0
1444,Illa Weston,213,1672335,213,4313582,0.0,0.0
2087,Cyrus Ramey,58135,1672335,128650,4313582,0.0,0.0
1653,Howard Gardner,245,1672335,245,4313582,0.0,0.0
1933,Oleta English,1056,1672335,1058,4313582,0.0,0.0
244,Latarsha Carnes,3329,1672335,4302,4313582,0.0,0.0
1861,Lino Page,1973,1672335,1979,4313582,0.0,0.0
138,Julio Galvan,2644,1672335,3603,4313582,0.0,0.0
664,Johnetta Buck,108,1672335,108,4313582,0.0,0.0
1869,Rafael Bouchard,16151,1672335,25199,4313582,0.0,0.0
146,Marhta Black,9358,1672335,13292,4313582,0.0,0.0
433,Leilani Gibbons,739,1672335,739,4313582,0.0,0.0
1524,Freddie Summers,8403,1672335,11783,4313582,0.0,0.0
989,Ashlie Williamson,8249,1672335,13270,4313582,0.0,0.0
245,Andreas Poirier,7246,1672335,12820,4313582,0.0,0.0
2179,Anette Leon,1287,1672335,1288,4313582,0.0,0.0
1581,Trista Magana,3156,1672335,4227,4313582,0.0,0.0
2308,Gilma Covington,2652,1672335,3773,4313582,0.0,0.0
730,Augustine Fay,3297,1672335,4516,4313582,0.0,0.0
1958,Magdalen Coats,5679,1672335,7900,4313582,0.0,0.0
232,Lyndia Serrano,2971,1672335,4475,4313582,1.471467669732623e-305,7.810097631657767e-304
1605,Charisse Schmidt,12582,1672335,24974,4313582,1.5870937525449158e-304,8.21321016941994e-303
64,Nu Vera,3758,1672335,6020,4313582,4.5751284710940395e-301,2.309881935406015e-299
32,Yesenia Pope,5680,1672335,10020,4313582,3.39855012708378e-288,1.6749997054912918e-286
978,Shante Estrada,4259,1672335,7192,4313582,3.700931570716945e-269,1.7816112445079246e-267
701,Tayna Ames,2079,1672335,2947,4313582,8.629899597854726e-268,4.05997549262711e-266
2234,Kandice Holder,3890,1672335,6472,4313582,1.2370292674570542e-263,5.69033463030245e-262
1432,Waylon Hatcher,1391,1672335,1761,4313582,3.2266186170520845e-261,1.451978377673438e-259
115,Rosendo Gomez,2136,1672335,3091,4313582,1.3372478553539592e-255,5.889580979963182e-254
1016,Rufina Naquin,4493,1672335,7777,4313582,1.0966779777623765e-251,4.729423779100249e-250
1314,Vena Valenzuela,5473,1672335,9853,4313582,5.192984584202602e-249,2.193771038632528e-247
1548,Malvina Mccann,3007,1672335,4853,4313582,8.422553425509527e-234,3.486937118160944e-232
1044,Birgit Stevenson,565,1672335,567,4313582,3.965529876160546e-231,1.6095385967945746e-229
1770,Polly Carroll,3076,1672335,5061,4313582,9.825638325710015e-220,3.911359871965333e-218
1868,Hue Craft,5013,1672335,9122,4313582,5.52577152639545e-215,2.1581786904978452e-213
2127,Donnie Herman,1895,1672335,2784,4313582,6.400993896254827e-215,2.4537143268976838e-213
1449,Ghislaine Baum,1546,1672335,2150,4313582,1.981734459599504e-213,7.458527875219952e-212
320,Lawanna Piper,2779,1672335,4500,4313582,3.610441441034323e-213,1.3345738898109015e-211
2096,Gil Boyle,825,1672335,945,4313582,4.949085971022159e-212,1.797299642108047e-210
1834,Gustavo Cottrell,2824,1672335,4609,4313582,2.810869474742002e-209,1.0031896228820593e-207
516,Irene Goode,3053,1672335,5070,4313582,3.6029723634211635e-209,1.2640936936070862e-207
223,Kylie Shafer,7061,1672335,13636,4313582,1.075751467543608e-208,3.711342563025448e-207
1210,Haydee Ingram,1971,1672335,2957,4313582,1.2242333586008369e-206,4.154365659514316e-205
848,Rolland Seals,3057,1672335,5110,4313582,3.000655537937379e-203,1.0018317683113508e-201
430,Mozella Marino,2044,1672335,3124,4313582,1.898272195005158e-199,6.237180069302662e-198
1459,Ruth Craft,1514,1672335,2161,4313582,5.057856768153428e-191,1.6359005484496245e-189
1772,Vicki Dunbar,795,1672335,934,4313582,3.0619544808402993e-189,9.75114734667603e-188
111,Raleigh Meredith,5129,1672335,9592,4313582,3.971532764679542e-187,1.2456170943767654e-185
344,Shawnta Jensen,1619,1672335,2372,4313582,7.629210055836805e-186,2.357084300833162e-184
2302,Cliff Creech,12054,1672335,25267,4313582,2.4612884093852014e-184,7.492451481510833e-183
