,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
59,Android,Samantha Rubio,2127,1120599,3446,4313582,0,0
596,Android,Yevette Tatum,2585,1120599,4220,4313582,0,0
147,Android,Chuck Shepherd,168,1120599,168,4313582,0,0
1482,Android,Gilma Yoder,2304,1120599,2879,4313582,0,0
305,Android,Minh Beverly,6099,1120599,11604,4313582,0,0
1047,Android,Altha Dowling,6755,1120599,13329,4313582,0,0
1351,Android,Wen Ivy,1768,1120599,2775,4313582,0,0
787,Android,Ezra Fritz,9222,1120599,24509,4313582,0,0
2134,Android,Irving Langston,14650,1120599,35497,4313582,0,0
788,Android,Vernell Hankins,1014,1120599,1248,4313582,0,0
487,Android,Afton Dolan,2791,1120599,5279,4313582,0,0
355,Android,Summer Eubanks,2868,1120599,5358,4313582,0,0
1434,Android,Alva Mcnamara,5804,1120599,10718,4313582,0,0
618,Android,Phyllis Mccracken,3593,1120599,6716,4313582,0,0
1170,Android,Loren Krueger,4861,1120599,7975,4313582,0,0
2164,Android,Angeline Joyce,2456,1120599,2864,4313582,0,0
837,Android,Jenniffer Larson,11781,1120599,22196,4313582,0,0
903,Android,Willene Raymond,1459,1120599,1596,4313582,0,0
1667,Android,Assunta Stevenson,3134,1120599,5216,4313582,0,0
2171,Android,Ernesto Woodward,14390,1120599,25471,4313582,0,0
1994,Android,Breanne Emerson,4837,1120599,5231,4313582,0,0
2188,Android,Janette Erwin,2553,1120599,4440,4313582,0,0
662,Android,Bobbie Adcock,3607,1120599,3811,4313582,0,0
747,Android,Garret Jacobsen,19923,1120599,35618,4313582,0,0
1913,Android,Sherril Irwin,8049,1120599,18684,4313582,0,0
1906,Android,Leanora Dill,8077,1120599,17499,4313582,0,0
1519,Android,Mandi Browning,1550,1120599,2029,4313582,0,0
585,Android,Stephany Hernandez,1016,1120599,1316,4313582,0,0
1344,Android,Brianna Nance,7636,1120599,19984,4313582,2.31110461e-315,1.63052415004e-313
763,Android,Ashton Hardin,16637,1120599,49527,4313582,2.8371612739e-313,1.934943988788e-311
1563,Android,Estefana Crook,806,1120599,977,4313582,9.2668659091909E-301,6.11613150006599E-299
132,Android,Bee Ward,1787,1120599,3127,4313582,5.15284737094052E-297,3.2946017877951E-295
2133,Android,Dewey Malloy,1699,1120599,2949,4313582,2.77908431976754E-288,1.72303227825588E-286
