,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
234,Browser,Daine Morgan,5019,268911,5615,4313582,0,0
650,Browser,Bernetta Moses,497,268911,656,4313582,0,0
1302,Browser,Hanna Avila,1438,268911,3026,4313582,0,0
1376,Browser,Marco Martin,355,268911,358,4313582,0,0
265,Browser,Herminia Triplett,506,268911,655,4313582,0,0
1397,Browser,Neville Escobar,286,268911,287,4313582,0,0
1492,Browser,Tracy Pennington,3656,268911,4144,4313582,0,0
598,Browser,Judie Friedman,3351,268911,3372,4313582,0,0
1502,Browser,Heather Huddleston,3979,268911,3997,4313582,0,0
1538,Browser,Jaye Velasco,8861,268911,12207,4313582,0,0
1240,Browser,Tenisha Rader,976,268911,1071,4313582,0,0
212,Browser,Jewell Pyle,334,268911,342,4313582,0,0
702,Browser,Liana Barrett,4340,268911,4347,4313582,0,0
1599,Browser,Syble Shuler,3036,268911,3059,4313582,0,0
1636,Browser,Marian Nash,408,268911,554,4313582,0,0
1681,Browser,Merilyn Downey,533,268911,580,4313582,0,0
614,Browser,Vernia Sousa,2764,268911,2772,4313582,0,0
1688,Browser,Marjory Robinson,2844,268911,2846,4313582,0,0
189,Browser,Ignacia Keen,1446,268911,3067,4313582,0,0
613,Browser,Malia Stover,3934,268911,3945,4313582,0,0
1700,Browser,Juli Mcmahan,4287,268911,4357,4313582,0,0
209,Browser,Karma Nichols,3224,268911,3272,4313582,0,0
1230,Browser,Maia Coffman,3867,268911,3867,4313582,0,0
315,Browser,Ernesto Ham,2333,268911,2352,4313582,0,0
1135,Browser,Luanna Flood,4526,268911,4537,4313582,0,0
728,Browser,Reuben Mullen,423,268911,443,4313582,0,0
729,Browser,Phuong Gilbert,2723,268911,2743,4313582,0,0
782,Browser,Hana Crouch,3567,268911,3573,4313582,0,0
454,Browser,Flor Mcdowell,1475,268911,1484,4313582,0,0
495,Browser,Ellyn Stringer,387,268911,557,4313582,0,0
828,Browser,Gema Curry,3441,268911,3444,4313582,0,0
421,Browser,Katrice Tatum,343,268911,343,4313582,0,0
419,Browser,Carson Mayer,3110,268911,3115,4313582,0,0
414,Browser,Magdalen Tuttle,3058,268911,3067,4313582,0,0
857,Browser,Jenelle Pierce,1429,268911,1430,4313582,0,0
671,Browser,Erminia Helms,3600,268911,3607,4313582,0,0
392,Browser,Kaye Randall,2764,268911,2782,4313582,0,0
388,Browser,Frank Hawk,4009,268911,4013,4313582,0,0
957,Browser,Mariam Lund,11900,268911,17687,4313582,0,0
963,Browser,Tatyana Alvarado,830,268911,1224,4313582,0,0
362,Browser,Bibi Galindo,3561,268911,3572,4313582,0,0
997,Browser,Ashleigh Mccain,3289,268911,3303,4313582,0,0
350,Browser,Arianne Fountain,4069,268911,4090,4313582,0,0
1084,Browser,Otto Goldsmith,2852,268911,2987,4313582,0,0
1093,Browser,Yoko Snyder,2790,268911,2793,4313582,0,0
658,Browser,Dominick Shockley,1430,268911,4506,4313582,0,0
174,Browser,Edythe Lam,1235,268911,1725,4313582,0,0
1716,Browser,Amee Lee,4816,268911,4825,4313582,0,0
1571,Browser,Lorrie Shipley,3370,268911,3374,4313582,0,0
1729,Browser,Suzette Pace,3001,268911,3003,4313582,0,0
86,Browser,Kristian Block,4835,268911,4920,4313582,0,0
1974,Browser,Pasty Rock,3476,268911,3571,4313582,0,0
1722,Browser,Tod Mcdowell,1451,268911,7266,4313582,0,0
65,Browser,Shaunte Easley,4354,268911,4364,4313582,0,0
63,Browser,Fritz Vann,3504,268911,7128,4313582,0,0
2066,Browser,Jamal Mcnair,1128,268911,2009,4313582,0,0
2079,Browser,Susy Mcclendon,744,268911,1102,4313582,0,0
2142,Browser,Myriam Glover,3048,268911,3053,4313582,0,0
40,Browser,Tomi Stubbs,2864,268911,2869,4313582,0,0
2192,Browser,Thresa Tracy,4126,268911,4238,4313582,0,0
2228,Browser,Fe Jarrett,8298,268911,14605,4313582,0,0
2244,Browser,Elinore Aguirre,466,268911,613,4313582,0,0
17,Browser,Gisela Barnard,4241,268911,4253,4313582,0,0
15,Browser,Louanne Finn,3049,268911,3059,4313582,0,0
2274,Browser,Wes Kelley,1347,268911,1665,4313582,0,0
1950,Browser,Darlena Cardwell,3638,268911,3644,4313582,0,0
1888,Browser,Brigida Ambrose,2703,268911,2712,4313582,0,0
2014,Browser,Perry Montoya,956,268911,964,4313582,0,0
1879,Browser,Shanae Corbett,2537,268911,2562,4313582,0,0
