,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
593,Linux,Essie Steward,1400,102787,1400,4313582,0,0
561,Linux,Lang Dudley,1400,102787,1400,4313582,0,0
1831,Linux,Lashunda Stjohn,1400,102787,1400,4313582,0,0
1198,Linux,Etta Marquez,1400,102787,1400,4313582,0,0
638,Linux,Yanira Moss,21024,102787,21118,4313582,0,0
1781,Linux,Carmel Sewell,1400,102787,1400,4313582,0,0
1735,Linux,Arminda Newman,1400,102787,1400,4313582,0,0
680,Linux,Casie Hairston,1400,102787,1400,4313582,0,0
696,Linux,Sybil Spencer,1400,102787,1400,4313582,0,0
724,Linux,Aurora Cano,1400,102787,1400,4313582,0,0
751,Linux,Elnora Schaefer,1400,102787,1400,4313582,0,0
796,Linux,Micha Burden,1400,102787,1400,4313582,0,0
800,Linux,Frederic Goodson,1400,102787,1400,4313582,0,0
1579,Linux,Kenyetta Sheridan,1400,102787,1400,4313582,0,0
836,Linux,Shawnna Latham,1400,102787,1400,4313582,0,0
1870,Linux,Timmy Lemons,1400,102787,1400,4313582,0,0
1554,Linux,Angeles Suarez,1400,102787,1400,4313582,0,0
1522,Linux,Cathleen Quinn,1400,102787,1400,4313582,0,0
1484,Linux,Alysia Fenton,1400,102787,1400,4313582,0,0
1476,Linux,Ludivina Minor,1400,102787,1400,4313582,0,0
1462,Linux,Lashunda Alonzo,570,102787,1763,4313582,0,0
1390,Linux,Tyron Golden,1400,102787,1400,4313582,0,0
1386,Linux,Zena Spivey,1400,102787,1400,4313582,0,0
1310,Linux,Anjelica Simpson,1400,102787,1400,4313582,0,0
1284,Linux,Milissa Toney,1400,102787,1400,4313582,0,0
1275,Linux,Keri Lackey,1400,102787,1400,4313582,0,0
1122,Linux,Kasi Overton,1400,102787,1400,4313582,0,0
1129,Linux,Caitlyn Yazzie,483,102787,1989,4313582,0,0
2318,Linux,Rickey Seay,1400,102787,1400,4313582,0,0
1249,Linux,Tonia Mcintosh,1400,102787,1400,4313582,0,0
1188,Linux,Pennie Boston,1400,102787,1400,4313582,0,0
1553,Linux,Tennille Le,1400,102787,1400,4313582,0,0
