,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1652,Mac,Kemberly Ennis,6031,218346,7371,4313582,0,0
1587,Mac,Lonnie Sampson,1031,218346,1204,4313582,0,0
2184,Mac,Joel Pratt,1929,218346,1947,4313582,0,0
1822,Mac,Dario Murdock,476,218346,558,4313582,0,0
1594,Mac,Santiago Corbett,490,218346,574,4313582,0,0
79,Mac,Tyree Mims,270,218346,275,4313582,0,0
947,Mac,Elidia Swain,119,218346,119,4313582,0,0
951,Mac,Florida Zuniga,335,218346,350,4313582,0,0
1635,Mac,Rossie Woodard,418,218346,418,4313582,0,0
1163,Mac,Angie Mchugh,415,218346,488,4313582,0,0
609,Mac,Marylee Wang,430,218346,450,4313582,0,0
1152,Mac,Erick Ponder,495,218346,498,4313582,0,0
1584,Mac,Dominick Gates,965,218346,1135,4313582,0,0
2130,Mac,Sina Donaldson,4039,218346,20065,4313582,0,0
325,Mac,Pearl Barnett,724,218346,758,4313582,0,0
192,Mac,Chantay Swain,2089,218346,2972,4313582,0,0
818,Mac,Herb Lopes,562,218346,652,4313582,0,0
2252,Mac,Delfina Nesbitt,406,218346,447,4313582,0,0
996,Mac,Gerry Trent,1286,218346,4793,4313582,0,0
1725,Mac,Gwyn Hobbs,285,218346,301,4313582,0,0
1215,Mac,Calvin Dias,4261,218346,4804,4313582,0,0
1830,Mac,Hunter Farmer,329,218346,340,4313582,0,0
2239,Mac,Miyoko Bright,891,218346,1034,4313582,0,0
1827,Mac,Darron Browne,429,218346,564,4313582,0,0
233,Mac,Michiko Pickens,330,218346,374,4313582,0,0
959,Mac,Rico Quinn,496,218346,499,4313582,0,0
1029,Mac,Shay Lucas,305,218346,329,4313582,0,0
89,Mac,Rolf Frye,339,218346,369,4313582,0,0
2146,Mac,Tam Whittington,593,218346,699,4313582,0,0
443,Mac,Samantha Melvin,585,218346,860,4313582,0,0
31,Mac,Aracely Wang,757,218346,855,4313582,0,0
1483,Mac,Stacee Sylvester,3339,218346,3820,4313582,0,0
1533,Mac,Willie Vang,452,218346,726,4313582,0,0
2111,Mac,Naoma Allred,1105,218346,1311,4313582,0,0
2299,Mac,Delia Shockley,2357,218346,19187,4313582,0,0
519,Mac,Evelina Tanner,596,218346,954,4313582,0,0
2314,Mac,Valentine Brewer,14212,218346,15503,4313582,0,0
488,Mac,Zena Clay,1678,218346,1683,4313582,0,0
1956,Mac,Irish Downs,747,218346,866,4313582,0,0
1515,Mac,Errol Person,925,218346,980,4313582,0,0
1575,Mac,Lashawnda Riddick,254,218346,259,4313582,5e-323,1.453e-321
577,Mac,Gale Sierra,245,218346,246,4313582,1.59455e-319,4.57863e-318
1825,Mac,Rocco Burks,229,218346,246,4313582,1.9944763761557E-274,5.59381048754365E-273
284,Mac,Charline Norton,415,218346,961,4313582,3.31097984714144E-268,9.07509476284677E-267
