,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
372,Windows,Sabine Delong,822,584765,1117,4313582,0,0
215,Windows,Mayola Cleary,1443,584765,2647,4313582,0,0
189,Windows,Ignacia Keen,1609,584765,3067,4313582,0,0
926,Windows,Traci Caudill,1038,584765,1241,4313582,0,0
1649,Windows,Dalton Wooten,113,584765,113,4313582,0,0
37,Windows,Eun Hull,1084,584765,1088,4313582,0,0
1873,Windows,Mireille Frazier,751,584765,1078,4313582,0,0
980,Windows,Voncile Simon,238,584765,238,4313582,0,0
995,Windows,Donn Cheney,619,584765,663,4313582,0,0
1860,Windows,Cherri Friedman,430,584765,432,4313582,0,0
1024,Windows,Sara Orozco,1908,584765,5361,4313582,0,0
1026,Windows,Meri Hilliard,104,584765,104,4313582,0,0
1035,Windows,Vernon Ramsey,416,584765,422,4313582,0,0
1043,Windows,Jeanie Baldwin,304,584765,304,4313582,0,0
1059,Windows,Margarito Davila,478,584765,497,4313582,0,0
1068,Windows,Lesli Bronson,106,584765,106,4313582,0,0
1807,Windows,Fredericka Nielson,1195,584765,1207,4313582,0,0
1153,Windows,Florentino Proctor,175,584765,175,4313582,0,0
1787,Windows,Franchesca Grubbs,2848,584765,3060,4313582,0,0
1392,Windows,Carolin German,2154,584765,2157,4313582,0,0
852,Windows,Jovan Hare,3161,584765,3174,4313582,0,0
1226,Windows,Crysta Greene,2375,584765,6140,4313582,0,0
835,Windows,Elfrieda Miranda,3520,584765,10166,4313582,0,0
822,Windows,Sheree Bennett,108,584765,108,4313582,0,0
2134,Windows,Irving Langston,7960,584765,35497,4313582,0,0
2130,Windows,Sina Donaldson,5297,584765,20065,4313582,0,0
341,Windows,Malcolm Crook,114552,584765,636055,4313582,0,0
322,Windows,Janey Anaya,715,584765,718,4313582,0,0
318,Windows,Pamela Brinkley,866,584765,1014,4313582,0,0
562,Windows,Pansy Sloan,1969,584765,2421,4313582,0,0
297,Windows,Lenita Beaulieu,160,584765,160,4313582,0,0
2059,Windows,Marilu Tucker,4964,584765,17491,4313582,0,0
2187,Windows,Kelly Cottrell,370,584765,370,4313582,0,0
1621,Windows,Keli Ewing,207,584765,207,4313582,0,0
280,Windows,Christi Busch,2726,584765,2732,4313582,0,0
2193,Windows,Nicki Lindsey,805,584765,852,4313582,0,0
2042,Windows,Gabriel Velasco,116,584765,116,4313582,0,0
2015,Windows,Evelyne Mcgrath,665,584765,770,4313582,0,0
1992,Windows,Nyla Lanier,964,584765,1421,4313582,0,0
749,Windows,Michal Sykes,602,584765,612,4313582,0,0
763,Windows,Ashton Hardin,11812,584765,49527,4313582,0,0
1971,Windows,Reina Fitzpatrick,609,584765,609,4313582,0,0
806,Windows,Mariel Palacios,1418,584765,3016,4313582,0,0
833,Windows,Lee Lombardo,110,584765,110,4313582,0,0
1368,Windows,Tessie Hankins,2058,584765,4954,4313582,0,0
1895,Windows,Ayesha Lind,430,584765,480,4313582,1.99067645616407e-310,8.2353419480005e-309
450,Windows,Verdell Bundy,1454,584765,3850,4313582,1.7509055276773166e-308,7.08930472163816E-307
1494,Windows,Margarita Blanton,642,584765,992,4313582,4.49708289619724E-303,1.7829059898882E-301
374,Windows,Tasha Busby,360,584765,372,4313582,3.789107028184E-294,1.47156544380289E-292
2077,Windows,Vanda Augustine,1898,584765,5907,4313582,1.19914925810076E-293,4.56396207633148E-292
1231,Windows,Valentina Ham,1030,584765,2352,4313582,1.00281989441251E-280,3.74189462562157E-279
452,Windows,Mi Stout,481,584765,652,4313582,8.53869289225123E-269,3.12483318729886E-267
399,Windows,Sari Ziegler,306,584765,307,4313582,3.45013056910999E-267,1.23879216472006E-265
2048,Windows,Melvina Hurst,787,584765,1556,4313582,1.32301313533789E-266,4.66239628990373E-265
1222,Windows,Alfonso Carrier,299,584765,301,4313582,1.07090325656578E-258,3.70532526771759E-257
862,Windows,Tamesha Hinton,296,584765,301,4313582,3.10218962219348E-250,1.05419050911325E-248
1606,Windows,Delorse Leblanc,1270,584765,3520,4313582,3.309506460595E-248,1.10491066570391E-246
659,Windows,Simona Beck,359,584765,420,4313582,1.99112357407095E-243,6.53294510596036E-242
899,Windows,Danilo Lopez,2182,584765,7843,4313582,2.48408219889154E-241,8.01221766862813E-240
1591,Windows,Aubrey Hopkins,760,584765,1619,4313582,4.35788319909216E-231,1.38217528797873E-229
183,Windows,Lisandra Allred,249,584765,250,4313582,1.03715252020263E-217,3.23557581302558E-216
673,Windows,Erlinda Good,442,584765,664,4313582,3.21959755412265E-217,9.8820873314442E-216
1937,Windows,Candis Roach,303,584765,344,4313582,1.40436491619268E-214,4.24207370716613E-213
594,Windows,Rolando Hudson,499,584765,833,4313582,7.51633470956922E-214,2.23493514879847E-212
1947,Windows,Britta Tilley,528,584765,923,4313582,8.55007141467518E-213,2.50319783109644E-211
2296,Windows,Dallas Decker,446,584765,699,4313582,1.14269218527216E-207,3.29476246753472E-206
870,Windows,Cristen Castaneda,236,584765,237,4313582,1.99529963395144E-206,5.66724657225313E-205
1057,Windows,Chester Thorpe,404,584765,598,4313582,1.49333921076839E-202,4.17915370307683E-201
1733,Windows,Lucile Hanna,247,584765,256,4313582,7.25366344789185E-202,2.00053935381713E-200
678,Windows,Kiera Flood,4864,584765,23624,4313582,2.34272929305053E-195,6.36887692096453E-194
2186,Windows,Lore Stratton,251,584765,269,4313582,5.49303878844527E-194,1.47228912879033E-192
136,Windows,Jarvis Craven,226,584765,229,4313582,1.86599645548787E-193,4.93193229832419E-192
1630,Windows,Shauna Leslie,570,584765,1133,4313582,2.0982259623034E-192,5.46975891268954E-191
952,Windows,Stephanie Hay,234,584765,242,4313582,3.48009656698075E-192,8.94949157697887E-191
80,Windows,Roselle Hendricks,231,584765,238,4313582,4.333918984232E-191,1.0996597102658E-189
2037,Windows,Janeen Coronado,214,584765,215,4313582,2.48909179039473E-187,6.23255483831732E-186
