,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
2063,iOS,Madge Yoder,7866,1672335,14267,4313582,0,0
1965,iOS,Marci Lau,3136,1672335,4316,4313582,0,0
1732,iOS,Jenee Ellsworth,17622,1672335,31528,4313582,0,0
1404,iOS,Tennille Conway,11532,1672335,18328,4313582,0,0
57,iOS,Lavenia Godfrey,3828,1672335,3831,4313582,0,0
1815,iOS,Larissa Boggs,165,1672335,165,4313582,0,0
2069,iOS,Elayne Case,166,1672335,166,4313582,0,0
499,iOS,Anne Carey,13271,1672335,24014,4313582,0,0
1892,iOS,Molly Champion,12246,1672335,19388,4313582,0,0
1143,iOS,Wonda Mize,4685,1672335,6172,4313582,0,0
589,iOS,Carmel Kenny,119,1672335,119,4313582,0,0
994,iOS,Sharilyn Workman,36251,1672335,76400,4313582,0,0
1672,iOS,Daria Estrada,5982,1672335,8927,4313582,0,0
492,iOS,Mariko Hayes,17260,1672335,30122,4313582,0,0
1837,iOS,Annalee Pugh,8254,1672335,8522,4313582,0,0
1747,iOS,Brice Childers,175,1672335,175,4313582,0,0
330,iOS,Elma Costello,236,1672335,236,4313582,0,0
1722,iOS,Tod Mcdowell,4556,1672335,7266,4313582,0,0
341,iOS,Malcolm Crook,289806,1672335,636055,4313582,0,0
1444,iOS,Illa Weston,213,1672335,213,4313582,0,0
2087,iOS,Cyrus Ramey,58135,1672335,128650,4313582,0,0
1653,iOS,Howard Gardner,245,1672335,245,4313582,0,0
1933,iOS,Oleta English,1056,1672335,1058,4313582,0,0
244,iOS,Latarsha Carnes,3329,1672335,4302,4313582,0,0
1861,iOS,Lino Page,1973,1672335,1979,4313582,0,0
138,iOS,Julio Galvan,2644,1672335,3603,4313582,0,0
664,iOS,Johnetta Buck,108,1672335,108,4313582,0,0
1869,iOS,Rafael Bouchard,16151,1672335,25199,4313582,0,0
146,iOS,Marhta Black,9358,1672335,13292,4313582,0,0
433,iOS,Leilani Gibbons,739,1672335,739,4313582,0,0
1524,iOS,Freddie Summers,8403,1672335,11783,4313582,0,0
989,iOS,Ashlie Williamson,8249,1672335,13270,4313582,0,0
245,iOS,Andreas Poirier,7246,1672335,12820,4313582,0,0
2179,iOS,Anette Leon,1287,1672335,1288,4313582,0,0
1581,iOS,Trista Magana,3156,1672335,4227,4313582,0,0
2308,iOS,Gilma Covington,2652,1672335,3773,4313582,0,0
730,iOS,Augustine Fay,3297,1672335,4516,4313582,0,0
1958,iOS,Magdalen Coats,5679,1672335,7900,4313582,0,0
