,artist,x,k,m,N,p-val,adj_pval(BH)
1179,Reagan Girard,942,345838,947,4313582,0.0,0.0
289,Jenny Trevino,2716,345838,2758,4313582,0.0,0.0
287,Hilario Carlton,1639,345838,6233,4313582,0.0,0.0
776,Katharyn Macdonald,1038,345838,1040,4313582,0.0,0.0
789,Alec Bailey,775,345838,775,4313582,0.0,0.0
904,Dann Rivers,3479,345838,15202,4313582,0.0,0.0
930,Mauricio Mcgee,3591,345838,3621,4313582,0.0,0.0
247,Lavelle Barksdale,2735,345838,2751,4313582,0.0,0.0
954,Shin Hayden,1855,345838,1877,4313582,0.0,0.0
1096,Shayla Bowie,2862,345838,12453,4313582,0.0,0.0
1099,Twanda Story,3604,345838,3635,4313582,0.0,0.0
711,Ginette Rowley,14657,345838,34908,4313582,0.0,0.0
1187,Argelia Sorensen,870,345838,870,4313582,0.0,0.0
389,Tomi Slade,2802,345838,2827,4313582,0.0,0.0
1357,Julie Laws,1775,345838,7842,4313582,0.0,0.0
1405,Mahalia Horn,759,345838,759,4313582,0.0,0.0
1724,Jeannette Youngblood,2490,345838,2493,4313582,0.0,0.0
1421,Concha Mckinley,3422,345838,3424,4313582,0.0,0.0
1698,Lashaun Longoria,3340,345838,3369,4313582,0.0,0.0
1665,Codi Mcghee,3344,345838,3384,4313582,0.0,0.0
1446,Angella Rosenthal,2413,345838,2795,4313582,0.0,0.0
1623,Lakeesha Newcomb,3218,345838,3239,4313582,0.0,0.0
1618,Mabelle Leary,2587,345838,2612,4313582,0.0,0.0
1293,Erline Delaney,2660,345838,2678,4313582,0.0,0.0
2057,Carina Walls,144,345838,144,4313582,0.0,0.0
1559,Cris Darnell,3141,345838,3153,4313582,0.0,0.0
511,Hoa Delaney,2557,345838,2562,4313582,0.0,0.0
2200,Yee Hahn,1869,345838,7613,4313582,0.0,0.0
2242,Jarrett Holbrook,793,345838,793,4313582,0.0,0.0
549,Robt Greenberg,3272,345838,3284,4313582,0.0,0.0
2087,Cyrus Ramey,20075,345838,128650,4313582,0.0,0.0
453,Blake Huber,3045,345838,3060,4313582,0.0,0.0
574,Viviana Hightower,448,345838,452,4313582,0.0,0.0
346,Tamisha Galloway,777,345838,781,4313582,0.0,0.0
34,Tonita Faulkner,778,345838,780,4313582,0.0,0.0
2299,Delia Shockley,3363,345838,19187,4313582,0.0,0.0
2302,Cliff Creech,4383,345838,25267,4313582,0.0,0.0
308,Haley Fitzgerald,1778,345838,6936,4313582,0.0,0.0
507,Jesica Pendleton,1166,345838,4182,4313582,4.5944994e-316,1.5491709493e-314
763,Ashton Hardin,6355,345838,49527,4313582,7.654945644294539e-297,2.51656338056183e-295
1732,Jenee Ellsworth,4451,345838,31528,4313582,3.2844983856341867e-292,1.0534427749046234e-290
1426,Alethia Milton,4125,345838,28732,4313582,9.647484172436322e-286,3.020581353988991e-284
500,Cecily Brantley,1689,345838,8618,4313582,2.438530516901621e-254,7.457366580757281e-253
1530,Duncan Zepeda,1102,345838,4937,4313582,7.783088972689784e-212,2.3260822725197878e-210
1785,Genia Mosher,1755,345838,10148,4313582,6.798725725514128e-202,1.9867387397891283e-200
1033,Maira Stamper,440,345838,1039,4313582,8.706796038528456e-200,2.4890079979706344e-198
1133,Alica Monroe,1064,345838,5157,4313582,9.297464279353314e-178,2.6013118143297037e-176
548,Jules Vinson,528,345838,1660,4313582,4.958722229779503e-172,1.358483277533343e-170
1606,Delorse Leblanc,818,345838,3520,4313582,6.726122548488038e-169,1.8050716635228106e-167
340,Yung Bean,1395,345838,7972,4313582,2.42889817178804e-165,6.388002191802545e-164
639,Danna Kenny,1288,345838,7206,4313582,2.597231607256988e-160,6.696783457927332e-159
1544,Corinne Beam,536,345838,1823,4313582,1.083523854153862e-157,2.740065131177555e-156
681,Amalia Paris,170,345838,235,4313582,6.237400645968857e-132,1.547581481028122e-130
1291,Jessi Sorenson,759,345838,3656,4313582,5.733740693054928e-129,1.3962720391420796e-127
1105,Diann Overstreet,194,345838,325,4313582,1.6678384115070883e-125,3.987650020239675e-124
1473,Sharla Foley,258,345838,595,4313582,2.708034444315219e-121,6.359045168347345e-120
2071,Morris Stovall,2012,345838,14807,4313582,5.798247766203591e-117,1.3376659320276704e-115
1004,Leanora Mullins,483,345838,1892,4313582,1.1512023567919464e-116,2.6100536192782924e-115
2141,Eleonore Daugherty,567,345838,2499,4313582,2.81310813047826e-113,6.269893545049003e-112
1757,Kaila Vann,301,345838,911,4313582,5.475925462562097e-104,1.2001403305448594e-102
242,Torie Shelton,576,345838,2757,4313582,1.3013571711266994e-99,2.805384721363295e-98
324,Rolf Diggs,1278,345838,8716,4313582,1.0682159714671208e-95,2.2656516169020386e-94
1453,Wilma Pruitt,538,345838,2590,4313582,3.15113975676064e-92,6.577379016095622e-91
909,Dolly Bragg,2371,345838,19572,4313582,1.151228692365371e-87,2.3654152038444735e-86
3,Donnette Sewell,1060,345838,7010,4313582,3.477400441066663e-87,7.03504858461948e-86
2286,Lindsay Bentley,1125,345838,7708,4313582,2.384249579115123e-83,4.7504366614187677e-82
941,Clifford Richard,745,345838,4600,4313582,2.5997318082150523e-74,5.1024586982131256e-73
441,Maira Gay,967,345838,6558,4313582,3.6235730854795014e-74,7.007350893243447e-73
858,Daniella Pickett,418,345838,2030,4313582,4.678766256941971e-71,8.916779170838683e-70
1083,Edward Carmona,580,345838,3347,4313582,1.4198574327147079e-68,2.66730360574263e-67
666,Gwendolyn Garland,146,345838,348,4313582,1.6239170045702125e-67,3.007677269027929e-66
23,Korey Battle,450,345838,2338,4313582,4.40852095611291e-67,8.05167369067844e-66
2209,Shera Lacey,263,345838,1024,4313582,2.908326183657544e-65,5.2389711390543434e-64
636,Maragaret Cuellar,366,345838,1774,4313582,9.682353575731025e-63,1.720580398930581e-61
2070,Shelia Mixon,156,345838,429,4313582,1.2258825206077538e-61,2.1493806861322616e-60
478,Oliver Archer,135,345838,327,4313582,1.359807992900456e-61,2.352825671926447e-60
1833,Lynsey Hinson,113,345838,232,4313582,2.2617437130938017e-61,3.8625882892446095e-60
220,Madalyn Ross,172,345838,522,4313582,2.3327662061375413e-60,3.93280456547547e-59
1333,Felipa Wheeler,348,345838,1680,4313582,3.280184908942208e-60,5.460054626910131e-59
2000,Olive Watt,111,345838,236,4313582,2.6013671123824846e-58,4.2759971909787093e-57
381,Tanesha Paige,565,345838,3514,4313582,6.963946915125844e-56,1.1305666905420352e-54
657,Jackson Koenig,342,345838,1720,4313582,6.857499488418726e-55,1.099708759423247e-53
964,Barney Woodruff,399,345838,2204,4313582,1.0648180024277006e-52,1.68703093155714e-51
2251,Kiyoko Mckinnon,269,345838,1229,4313582,7.739567392896743e-52,1.2116108478165736e-50
7,Sharron Camp,971,345838,7487,4313582,9.212350326651301e-49,1.4252047858289956e-47
1320,Rocio Escobedo,2202,345838,20109,4313582,9.421297987107542e-49,1.4405821922146995e-47
920,Angelita Roe,718,345838,5129,4313582,1.618373504984122e-47,2.4461622517863453e-46
538,Cheryle Hinds,274,345838,1331,4313582,2.217200821156555e-47,3.3132034997964427e-46
190,Kaila Parrott,677,345838,4767,4313582,5.335785280346216e-47,7.883772633320532e-46
2128,Woodrow Mcelroy,441,345838,2684,4313582,1.569822917269131e-46,2.2936857068987858e-45
1708,Jackson Swann,238,345838,1112,4313582,2.0853637450402942e-44,3.0134651920087768e-43
2138,Lucile Cardwell,735,345838,5403,4313582,2.9705196019205745e-44,4.245905735353864e-43
547,Aldo Fagan,444,345838,2785,4313582,1.8402487129281415e-43,2.6020721048392536e-42
